City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Nikolskoye,RU,59.7035,30.7861,19.29,88,99,11.95,overcast clouds
169,Bafoulabe,ML,13.8065,-10.8321,76.14,11,0,5.79,clear sky
170,Castro,BR,-24.7911,-50.0119,64.72,98,64,3.78,broken clouds
171,Palauig,PH,15.435,119.9045,82.4,60,96,1.12,overcast clouds
172,Ucluelet,CA,48.9329,-125.5528,45.95,94,98,5.99,overcast clouds
173,Lazaro Cardenas,MX,17.9583,-102.2,73.4,76,16,2.17,few clouds
174,Bosaso,SO,11.2842,49.1816,72.01,51,0,4.59,clear sky
175,Zhigalovo,RU,54.8097,105.1578,8.55,96,100,2.68,overcast clouds
176,Wewak,PG,-3.5534,143.6268,86.41,67,99,13.22,overcast clouds
177,Sozimskiy,RU,59.7418,52.2482,12.02,93,100,7.61,overcast clouds
178,Morros,BR,-9.4467,-46.3003,75.94,58,100,1.59,overcast clouds
179,Roros,NO,62.5747,11.3842,22.84,68,100,3.44,overcast clouds
180,College,US,64.8569,-147.8028,6.8,64,75,3.44,light shower snow
181,Talara,PE,-4.5772,-81.2719,71.73,84,31,13.27,scattered clouds
182,Weyburn,CA,49.6668,-103.8511,1.62,78,99,21.85,overcast clouds
183,Kushima,JP,31.4583,131.2333,44.64,54,21,13.51,few clouds
184,Smolenka,RU,52.1352,113.4974,-0.33,78,45,6.71,scattered clouds
185,Manacapuru,BR,-3.2997,-60.6206,73.98,94,100,1.36,light rain
186,Palana,RU,59.1167,159.9667,15.93,71,98,11.65,overcast clouds
187,Kivioli,EE,59.3531,26.9711,20.25,92,100,18.1,light snow
188,Rocha,UY,-34.4833,-54.3333,66.07,96,21,3.78,few clouds
189,Moose Factory,CA,51.2585,-80.6094,-9.42,64,75,4.61,broken clouds
190,Zemio,CF,5.0314,25.1361,69.66,31,100,1.92,overcast clouds
191,Salalah,OM,17.0151,54.0924,69.89,68,40,0.0,scattered clouds
192,Atar,MR,20.5169,-13.0499,69.13,12,30,5.41,scattered clouds
193,Demyansk,RU,57.643,32.466,9.57,93,51,8.7,broken clouds
194,Saint George,US,37.1041,-113.5841,48.79,21,0,8.05,clear sky
195,Gorontalo,ID,0.5412,123.0595,89.19,56,98,1.43,overcast clouds
196,Oulu,FI,65.0124,25.4682,23.22,93,100,5.01,light snow
197,Ugoofaaru,MV,5.6667,73.0,81.16,67,40,11.01,scattered clouds
198,Ponta Do Sol,PT,32.6667,-17.1,63.12,57,92,3.76,overcast clouds
199,Xining,CN,36.6167,101.7667,14.11,88,100,2.55,light snow
200,Mezen,RU,65.8522,44.24,-7.87,100,100,5.97,overcast clouds
201,Isangel,VU,-19.55,169.2667,77.11,88,100,6.91,overcast clouds
202,Borba,BR,-4.3878,-59.5939,73.51,99,100,2.42,light rain
203,Gambo,CF,4.6482,22.2633,67.95,47,89,3.02,overcast clouds
204,Beloha,MG,-25.1667,45.05,74.12,87,34,14.54,scattered clouds
205,Sainte-Suzanne,RE,-20.9061,55.6089,80.82,83,100,18.41,moderate rain
206,Acajutla,SV,13.5928,-89.8275,79.81,77,36,7.61,scattered clouds
207,Kozulka,UA,50.0351,23.797,35.89,85,100,10.04,overcast clouds
208,Kozhva,RU,65.1073,57.0459,1.98,98,100,3.62,overcast clouds
209,Celestun,MX,20.8667,-90.4,74.55,88,2,16.49,clear sky
210,Airai,TL,-8.9266,125.4092,71.62,69,100,2.1,overcast clouds
211,Sorkjosen,NO,69.8,20.9333,15.82,81,25,14.76,scattered clouds
212,Saint-Francois,FR,46.4154,3.9054,42.24,88,100,12.66,overcast clouds
213,Kavieng,PG,-2.5744,150.7967,83.88,69,100,5.82,overcast clouds
214,Pathein,MM,16.7833,94.7333,77.92,62,98,1.57,overcast clouds
215,Vicuna,CL,-30.0319,-70.7081,70.77,55,0,1.01,clear sky
216,Thompson,CA,55.7435,-97.8558,-16.44,69,0,5.75,clear sky
217,Jeremie,HT,18.65,-74.1167,76.33,74,1,4.74,clear sky
218,Atikokan,CA,48.7555,-91.6216,-15.7,100,74,2.64,broken clouds
219,Miguel Auza,MX,24.2933,-103.4503,39.16,55,0,13.49,clear sky
220,Smirnykh,RU,49.75,142.8333,13.03,77,100,9.62,overcast clouds
221,Kindia,GN,10.0569,-12.8658,66.31,39,0,2.35,clear sky
222,Tonj,SS,7.2737,28.6822,75.38,19,74,8.03,broken clouds
223,Alice Springs,AU,-23.7,133.8833,74.75,41,0,6.91,clear sky
224,Slavyansk-Na-Kubani,RU,45.2519,38.1181,31.24,93,100,11.16,light snow
225,Garoua,CM,9.3,13.4,68.25,17,50,0.49,scattered clouds
226,Rosetta,EG,31.4044,30.4164,53.42,58,74,20.92,broken clouds
227,Bluff,NZ,-46.6,168.3333,59.81,56,60,5.53,broken clouds
228,Walvis Bay,NA,-22.9575,14.5053,66.09,88,95,5.75,overcast clouds
229,Mayo,US,38.8876,-76.5119,38.19,84,100,8.99,light snow
230,Hithadhoo,MV,-0.6,73.0833,81.66,73,99,11.43,overcast clouds
231,Mana,GF,5.6592,-53.7767,76.75,86,100,7.96,overcast clouds
232,Geraldton,AU,-28.7667,114.6,103.12,8,0,19.57,clear sky
233,Puerto Madryn,AR,-42.7692,-65.0385,59.54,67,97,20.62,light rain
234,Belgrade,RS,44.804,20.4651,33.46,86,46,4.61,scattered clouds
235,Fort Nelson,CA,58.8053,-122.7002,-9.81,77,100,2.3,light snow
236,Mahanoro,MG,-19.9,48.8,75.25,96,100,25.84,heavy intensity rain
237,Naze,JP,28.3667,129.4833,54.52,66,97,16.15,overcast clouds
238,Rawson,AR,-43.3002,-65.1023,59.59,57,86,19.06,overcast clouds
239,Upernavik,GL,72.7868,-56.1549,2.25,97,100,10.54,overcast clouds
240,Balabac,PH,7.9868,117.0645,80.65,82,100,21.74,heavy intensity rain
241,Pajan,EC,-1.5667,-80.4167,71.91,95,44,3.96,light rain
242,Juneau,US,58.3019,-134.4197,37.85,97,100,3.44,mist
243,Port Keats,AU,-14.25,129.55,85.8,65,55,5.64,broken clouds
244,Thinadhoo,MV,0.5333,72.9333,81.72,73,100,12.3,overcast clouds
245,Litovko,RU,49.2361,135.1742,1.27,89,100,2.8,overcast clouds
246,Yatou,CN,37.15,122.3833,29.1,41,76,17.09,light snow
247,Bonthe,SL,7.5264,-12.505,75.43,85,9,3.27,clear sky
248,Srednekolymsk,RU,67.45,153.6833,-27.83,100,100,0.34,overcast clouds
249,Guerrero Negro,MX,27.9769,-114.0611,61.3,33,0,3.71,clear sky
250,Margate,GB,51.3813,1.3862,39.96,80,0,4.0,clear sky
251,Tual,ID,-5.6667,132.75,83.75,78,100,17.56,overcast clouds
252,Brae,GB,60.3964,-1.353,39.11,67,100,25.93,overcast clouds
253,Santa Maria,BR,-29.6842,-53.8069,76.3,94,40,6.91,scattered clouds
254,Kaitangata,NZ,-46.2817,169.8464,58.32,52,17,8.12,few clouds
255,Cidreira,BR,-30.1811,-50.2056,73.0,91,17,4.16,few clouds
256,Merauke,ID,-8.4667,140.3333,85.64,70,63,14.97,broken clouds
257,Ecija,ES,37.5422,-5.0826,51.58,69,100,1.81,light rain
258,Tazovskiy,RU,67.4667,78.7,6.89,96,100,6.73,overcast clouds
259,Nantucket,US,41.2835,-70.0995,37.51,93,100,17.27,mist
260,Moerai,PF,-22.4333,-151.3333,79.05,74,28,15.88,scattered clouds
261,Adrar,MR,20.5022,-10.0711,63.66,12,0,9.22,clear sky
262,Deputatskiy,RU,69.3,139.9,-27.35,99,69,2.53,broken clouds
263,Victoria,HK,22.2855,114.1577,60.24,78,100,1.01,overcast clouds
264,Kloulklubed,PW,7.0419,134.2556,81.1,78,8,18.81,clear sky
265,Omsukchan,RU,62.5333,155.8,-11.85,80,7,8.12,clear sky
266,Phan Thiet,VN,10.9333,108.1,82.71,56,93,13.71,overcast clouds
267,Wuchi,CN,29.3786,103.023,29.64,87,100,2.86,light snow
268,Hersbruck,DE,49.5125,11.4339,37.49,92,98,12.19,overcast clouds
269,Tripoli,LY,32.8752,13.1875,57.56,46,68,13.35,broken clouds
270,Eyl,SO,7.9803,49.8164,68.83,74,11,9.57,few clouds
271,Hohr-Grenzhausen,DE,50.4333,7.6667,37.81,89,51,9.55,broken clouds
272,Kruisfontein,ZA,-34.0033,24.7314,65.88,80,46,3.62,scattered clouds
273,Umm Kaddadah,SD,13.6017,26.6876,57.94,27,1,18.59,clear sky
274,Tautira,PF,-17.7333,-149.15,86.02,75,26,14.0,light rain
275,Chabua,IN,27.4825,95.1736,57.15,94,100,3.44,overcast clouds
276,Chililabombwe,ZM,-12.3648,27.8229,60.76,97,100,2.08,overcast clouds
277,Arica,CL,-18.475,-70.3042,66.43,77,0,1.14,clear sky
278,Mandera,KE,3.9366,41.867,73.96,25,44,4.76,scattered clouds
279,Krasnoselkup,RU,65.7,82.4667,16.07,96,100,5.57,light snow
280,Chanderi,IN,24.7167,78.1333,49.77,46,0,2.3,clear sky
281,Homer,US,59.6425,-151.5483,33.69,75,20,4.61,few clouds
282,Praia,CV,14.9215,-23.5087,70.34,78,0,13.8,clear sky
283,Saldanha,ZA,-33.0117,17.9442,59.05,74,0,10.33,clear sky
284,Kindu,CD,-2.95,25.95,68.18,99,100,3.15,overcast clouds
285,Port Alfred,ZA,-33.5906,26.891,68.86,81,94,8.63,light rain
286,Jaisalmer,IN,26.9147,70.9181,59.23,22,0,8.16,clear sky
287,Half Moon Bay,US,37.4636,-122.4286,61.29,59,0,0.0,haze
288,Sechura,PE,-5.5569,-80.8222,71.64,80,38,12.71,scattered clouds
289,Awjilah,LY,29.1081,21.2869,49.82,74,0,7.47,clear sky
290,Portland,US,45.5234,-122.6762,50.2,86,100,1.01,overcast clouds
291,Meulaboh,ID,4.1363,96.1285,77.88,82,99,3.67,moderate rain
292,Uberaba,BR,-19.7483,-47.9319,79.38,69,40,2.3,scattered clouds
293,Fort-Shevchenko,KZ,44.5086,50.263,36.07,96,99,22.93,overcast clouds
294,Harper,LR,4.375,-7.7169,78.66,83,73,5.12,light rain
295,Caravelas,BR,-17.7125,-39.2481,75.79,91,100,6.55,overcast clouds
296,Meadow Lake,US,34.8014,-106.5436,29.48,68,0,3.27,clear sky
297,Codrington,AU,-38.2667,141.9667,71.87,51,97,16.08,overcast clouds
298,Souillac,MU,-20.5167,57.5167,79.36,94,75,14.97,light rain
299,Bereda,ES,43.2686,-7.5406,46.0,100,100,5.03,overcast clouds
300,Laguna,US,38.421,-121.4238,62.89,41,0,3.44,clear sky
301,Mwense,ZM,-10.3845,28.698,61.7,99,100,2.86,overcast clouds
302,Komsomolskiy,UZ,40.4272,71.7189,31.42,68,100,4.61,overcast clouds
303,Dongning,CN,44.0622,131.1207,7.86,69,47,15.55,scattered clouds
304,Vakhsh,TJ,37.7149,68.8346,34.02,60,0,4.47,clear sky
305,Junction City,US,39.0286,-96.8314,28.71,68,0,0.0,clear sky
306,Videira,BR,-27.0083,-51.1517,66.33,99,100,1.77,overcast clouds
307,San Anselmo,US,37.9747,-122.5616,61.36,61,0,1.01,clear sky
308,Bud,US,39.447,-86.1758,19.45,88,81,5.53,broken clouds
309,Marsabit,KE,2.3284,37.9899,69.49,48,49,3.56,scattered clouds
310,Fairbanks,US,64.8378,-147.7164,8.1,65,100,3.44,light shower snow
311,Arlit,NE,18.7369,7.3853,56.3,23,0,7.49,clear sky
312,Druzhba,UA,52.0428,33.9453,8.64,98,100,3.0,overcast clouds
313,Ajdabiya,LY,30.7554,20.2263,52.05,74,0,4.99,clear sky
314,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,78,100,9.15,overcast clouds
315,Beroroha,MG,-21.6667,45.1667,74.64,73,100,4.54,overcast clouds
316,Port Macquarie,AU,-31.4333,152.9167,75.88,60,98,14.85,overcast clouds
317,Ambilobe,MG,-13.2,49.05,75.42,92,100,10.65,light rain
318,Aldan,RU,58.6031,125.3894,-4.36,94,100,2.73,overcast clouds
319,Ust-Tsilma,RU,65.441,52.1498,-15.84,100,85,1.95,overcast clouds
320,Ballina,AU,-28.8667,153.5667,76.96,57,40,20.71,scattered clouds
321,Agnibilekrou,CI,7.1344,-3.2047,65.86,47,4,2.1,clear sky
322,Poco Verde,BR,-10.7083,-38.1833,72.9,85,29,5.44,scattered clouds
323,Hofn,IS,64.2539,-15.2082,25.81,64,100,13.98,overcast clouds
324,Storm Lake,US,42.6411,-95.2097,8.35,56,0,6.91,clear sky
325,Alexandria,EG,31.2156,29.9553,54.14,76,40,13.8,scattered clouds
326,Kangaatsiaq,GL,68.3065,-53.4641,4.23,69,100,24.27,overcast clouds
327,Santiago,CL,-33.4569,-70.6483,73.29,44,0,13.8,clear sky
328,Peniche,PT,39.3558,-9.3811,54.63,75,97,12.59,overcast clouds
329,Husavik,IS,66.0449,-17.3389,15.71,93,100,6.33,light snow
330,Jupiter,US,26.9342,-80.0942,74.05,85,0,3.0,clear sky
331,Muros,ES,42.7762,-9.0603,52.23,84,99,14.05,overcast clouds
332,Guanhaes,BR,-18.775,-42.9325,67.46,99,100,4.12,overcast clouds
333,Svetlyy,RU,54.675,20.1347,42.85,93,100,19.64,overcast clouds
334,Kabanjahe,ID,3.1001,98.4908,66.96,80,98,2.21,overcast clouds
335,Aksehir,TR,38.3575,31.4164,12.83,94,49,2.93,scattered clouds
336,Dakar,SN,14.6937,-17.4441,70.68,88,0,4.61,clear sky
337,Upata,VE,8.0086,-62.3989,71.47,73,56,4.63,broken clouds
338,Malartic,CA,48.1335,-78.1328,-3.89,97,100,3.27,overcast clouds
339,Torbay,CA,47.6666,-52.7314,33.76,97,100,10.36,fog
340,Dudinka,RU,69.4058,86.1778,-2.94,97,95,5.93,overcast clouds
341,Itarema,BR,-2.9248,-39.9167,79.05,80,65,10.27,broken clouds
342,Praya,CV,14.9215,-23.5087,70.34,78,0,13.8,clear sky
343,Aksu,CN,41.1231,80.2644,25.59,74,99,5.01,overcast clouds
344,Mwingi,KE,-0.9344,38.0601,65.05,63,100,3.49,overcast clouds
345,Katsuura,JP,35.1333,140.3,44.71,42,96,12.48,overcast clouds
346,La Ronge,CA,55.1001,-105.2842,-9.15,77,100,6.91,overcast clouds
